Project,Code,NomPlacette,Placette,Cap,Altitude.(m),Coordonnées,Longitude,Latitude,Précision
NRI,NRI_001,Mondah.6,Principale,NORD,32,40. 40,9.34106,0.58583,3
NRI,NRI_001,Mondah.6,Aux_A,NORD,32,40. 40,9.34669,0.58642,3
NRI,NRI_001,Mondah.6,Aux_B,NORD,32,40. 40,9.34414,0.58597,3
NRI,NRI_001,Mondah.6,Aux_C,NORD,32,40. 40,9.33844,0.58594,3
NRI,NRI_001,Mondah.6,Aux_D,NORD,32,40. 40,9.33583,0.58578,3
NRI,NRI_002,Mondah.7,Principale,NORD,320,40. 40,9.32992,0.57147,4
NRI,NRI_002,Mondah.7,Aux_A,NORD,320,40. 40,9.32728,0.57125,5
NRI,NRI_002,Mondah.7,Aux_B,NORD,320,40. 40,9.32469,0.57161,3
NRI,NRI_002,Mondah.7,Aux_C,NORD,320,40. 40,9.33308,0.57192,3
NRI,NRI_002,Mondah.7,Aux_D,NORD,320,40. 40,9.33564,0.57178,3
